,Province,Date,Tests Completed,Vaccine dose:1 ,Booster vaccine: 2,Booster vaccine: 3,Booster vaccine: 4,Total vaccine,Vaccine coverage dose:1,Vaccine coverage booster:2,Vaccine coverage booster:3,Vaccine coverage booster:4,ICU
0,AB,2023-03-31,7441975.0,3619485.0,3446403.0,1824179.0,838597.0,9728664.0,79.7,75.9,40.2,18.5,25.0
1,BC,2023-03-31,6328622.0,4613061.0,4425788.0,2951325.0,1698511.0,13688685.0,86.7,83.2,55.5,31.9,19.0
2,MB,2023-03-31,1593487.0,1158894.0,1111163.0,646421.0,319296.0,3235774.0,82.2,78.8,45.9,22.7,5.0
3,NB,2023-03-31,944341.0,705982.0,666950.0,411366.0,199521.0,1983819.0,86.9,82.1,50.7,24.6,0.0
4,NL,2023-03-31,740895.0,505314.0,484281.0,310666.0,140695.0,1440956.0,96.1,92.1,59.1,26.7,0.0
5,NS,2023-03-31,2109809.0,914507.0,869721.0,559485.0,279568.0,2623281.0,89.7,85.3,54.9,27.4,8.0
6,NT,2023-03-31,42727.0,34499.0,33044.0,19269.0,6945.0,93757.0,79.1,75.8,44.2,15.9,0.0
7,NU,2023-03-31,44791.0,34430.0,31716.0,16975.0,3499.0,86620.0,85.0,78.3,41.9,8.6,0.0
8,ON,2023-03-31,25875550.0,12689223.0,12228410.0,7703697.0,3605527.0,36226857.0,84.0,80.9,51.0,23.9,68.0
9,PE,2023-03-31,265987.0,153473.0,146679.0,88579.0,45922.0,434653.0,89.9,85.9,51.9,26.9,1.0
10,QC,2023-03-31,19339333.0,7379821.0,7160015.0,3220882.0,1280669.0,19041387.0,84.9,82.3,37.0,14.7,31.0
11,SK,2023-03-31,1716043.0,976595.0,921830.0,531845.0,262435.0,2692705.0,81.7,77.2,44.5,22.0,5.0
12,YT,2023-03-31,33664.0,37290.0,35964.0,21973.0,10832.0,106059.0,84.8,81.8,50.0,24.6,0.0
